#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_172055,Cited1,0.00012049200000000001,4.1446124
NM_001107848,Ophn1,1.64e-06,3.3143602
ENSRNOT00000044008,Sec16b,2.65e-05,2.3643034
NM_001014222,Dmrtc1c1,0.00018313799999999998,2.1873172999999997
ENSRNOT00000072531,LOC691984,3.41e-06,5.886139599999999
ENSRNOT00000074982,LOC691984,1.73e-06,11.5753311
ENSRNOT00000076400,LOC691984,1.25e-07,8.478967800000001
ENSRNOT00000065987,LOC100910068,0.00013408299999999998,2.2559781
ENSRNOT00000076932,Gml,3.8900000000000004e-05,17.393376800000002
NM_053479,Pola1,2.4299999999999998e-05,5.7045675000000005
ENSRNOT00000001187,LOC304239,0.000770098,3.0049219
ENSRNOT00000076491,LOC304239,0.001039272,2.9847224999999997
NM_001108343,Etnk2,3.21e-05,2.2761977000000004
NM_012642,Ren,0.000604252,2.3056182
NM_001270664,Tnnt3,0.034786494,2.4254785
NM_001270665,Tnnt3,0.011782138999999999,2.6341647999999998
NM_001270666,Tnnt3,0.000594315,3.5392938999999997
NM_001270668,Tnnt3,0.023759292,2.2609151
NM_001270670,Tnnt3,0.015972772,2.5019258
NM_001270671,Tnnt3,0.008436301,2.6970330000000002
NM_001270672,Tnnt3,0.0073230330000000005,2.4550673
NM_001270673,Tnnt3,0.045231542,2.0684457999999997
NM_001270676,Tnnt3,0.009132177,2.7766186
NM_001270677,Tnnt3,0.009239763,2.8366238999999998
NM_017185,Tnni2,0.0026844020000000002,5.9764441
NM_031532,Tnnt3,0.020344193,2.3156097
NM_053325,Syt8,6.42e-05,2.0362668999999998
NM_001190162,Igf2,1.06e-05,11.123897300000001
NM_001190163,Igf2,4.04e-05,10.7774087
NM_019130,Ins2,2.8999999999999997e-05,2.6300513999999997
NM_001106198,Pgbd5,0.002788585,2.188719
NM_001012218,Trim55,1.63e-05,3.7197457000000003
NM_031019,Crh,0.0009603869999999999,2.8433591000000003
ENSRNOT00000072620,AABR06000596.1,0.002847959,2.0833331000000004
NM_001025002,LOC310926,0.024151782000000004,4.545411799999999
ENSRNOT00000067235,Ms4a18,1.26e-05,3.6859398000000003
NM_001191897,Ms4a15,0.002501407,2.2365485
ENSRNOT00000074966,LOC100911403,0.001628721,2.3616208999999997
NM_001047108,Lbx1,2.7600000000000003e-05,2.1787259
NM_001109166,Tlx1,2.3199999999999998e-05,5.5039102
NM_001134560,Rd3l,0.001777626,25.8542136
NM_001108062,Ppp1r13b,1.2e-05,3.5312822
ENSRNOT00000009097,Tgm6,0.038793951,2.3021984
NM_001107771,Anapc1,0.00020018599999999998,2.1347301
NM_022943,Mertk,0.00023188400000000002,2.4851517999999997
NM_012936,Crybb1,5.3500000000000006e-05,2.4257422
NM_031689,Cryba4,0.018719961,2.4383942000000003
NM_001014793,Kpna4,0.00033882300000000003,2.192811
ENSRNOT00000031978,LOC691354,0.020409456,2.1275443
ENSRNOT00000041538,Mef2c,3.85e-08,2.3854457
ENSRNOT00000076084,Mef2c,0.000455619,2.0742371
ENSRNOT00000076239,Mef2c,0.00524751,2.0177273000000002
NM_001106992,Cpeb4,0.000317527,3.3834926
NM_057188,Gmpr,6.890000000000001e-05,2.7372246
ENSRNOT00000014468,Dlx6,1.67e-05,3.3051149
ENSRNOT00000076086,Dlx6,2.7899999999999997e-05,2.7594129
ENSRNOT00000014468,Dlx6,1.67e-05,3.3051149
ENSRNOT00000076086,Dlx6,2.7899999999999997e-05,2.7594129
NM_053583,Zfp423,0.00017639900000000002,2.6092235
ENSRNOT00000030993,LOC685114,8.4e-07,3.1852495
NM_001108885,Klhl14,0.0026495040000000004,16.3559934
NM_053479,Pola1,2.4299999999999998e-05,5.7045675000000005
ENSRNOT00000061709,RGD1565158,1.99e-07,4.537928400000001
ENSRNOT00000006676,Tlx3,1.37e-06,3.176016
ENSRNOT00000075379,AABR06045579.1,0.002660853,3.0105803
NM_021754,Nop58,7.8e-05,2.1276054
NM_199400,Ica1l,0.000390066,2.4471707
NM_001108309,Sec14l1,2.03e-06,3.0764697
NM_001015021,Dnajb11,0.00035042,2.0570722
NM_053348,Fetub,0.001451016,2.794268
NM_133428,Hrg,0.001308869,10.469675599999999
NM_013126,Dgkg,0.000108933,2.5065998
ENSRNOT00000071232,Prrg3,0.000365849,2.211163
NM_001106220,Nlrp4a,2.17e-05,4.735049299999999
NM_001034138,Spdl1,0.000141266,2.906393
NM_001002291,Olr1384,0.001064496,2.4376414
NM_172019,Ifi47,0.00021223299999999999,2.3130417000000003
NM_001030023,Map2k4,0.048421730999999996,2.2655196
NM_001085381,Gjc1,0.000152309,3.7623138999999997
NM_172035,Fzd2,0.000140034,3.831347
NM_001013119,Gna13,0.001439669,2.1332926
NM_019224,Rgs9,0.022935567,2.2859465
NM_053570,Cxadr,0.004088977,3.2006424
NM_001105869,Rfc4,1.06e-06,3.0291278999999998
NM_144744,Adipoq,0.000217435,6.2910056
NM_012722,Eln,3.16e-05,2.2199395
NM_053786,Rfc2,1.49e-05,2.4317395
NM_173840,Lat2,0.001738555,5.447235299999999
NM_021997,Clip2,0.00042195199999999996,2.9203146
NM_001108332,Wbscr16,3.17e-06,2.5835543
ENSRNOT00000044017,Atp8a1,0.001587059,2.354565
ENSRNOT00000065214,Atp8a1,0.00038495,2.3644647
NM_001109087,Shisa3,0.000135811,3.2755166
NM_001013875,Rhbdd3,9.09e-05,7.792196000000001
NM_001108862,Rasl10a,8.07e-06,3.7723552000000002
NM_001109467,Emid1,3.5499999999999996e-05,4.5224527000000005
NM_001308298,Ap1b1,0.00019836400000000003,2.2115447
NM_001109106,Hesx1,0.007752986,6.4626505
NM_001191937,Il17rd,0.00039333699999999995,3.6414943999999996
NM_001107317,Mboat4,1.25e-05,3.7454921000000003
NM_001047978,LOC689713,3.11e-05,2.6531439
NM_138893,Myo16,0.004883515,8.2283033
NM_022179,Hk3,0.00534135,2.4662498
NM_022206,Unc5a,1.93e-05,3.6186794
ENSRNOT00000075579,Eif4e1b,1.1000000000000001e-08,24.490813
NM_001013138,Tspan17,4.0799999999999996e-05,3.1781742000000004
NM_012546,Drd1,2.35e-05,3.3950498999999996
NM_057188,Gmpr,6.890000000000001e-05,2.7372246
NM_001012214,Serpinb6b,6.67e-06,4.4449808
NM_001025720,Dhtkd1,0.000135886,3.5792303999999997
NM_001107415,Sall1,0.001280024,4.5652584
ENSRNOT00000026767,Egln1,0.0006128840000000001,2.1987148
ENSRNOT00000026767,Egln1,0.0006128840000000001,2.1987148
NM_001107451,Slc2a12,3.71e-05,2.6189877999999998
NM_001193569,Sgk1,0.000281285,2.3668081
NM_019232,Sgk1,0.0032589190000000003,2.1062635
ENSRNOT00000039493,AABR06007876.1,1.9e-06,6.7736296000000005
NM_001108922,Stk32c,1.33e-06,5.6405974
