#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_001106539,Matn4,3.05e-07,6.900049
NM_012649,Sdc4,4.69e-08,3.5771252000000002
ENSRNOT00000072728,RGD1563818,0.000306181,4.0321784
NM_001008873,Slpil3,0.000104216,5.2883073
NM_053372,Slpi,0.000638504,3.9579809999999997
NM_031557,Ptgis,6.94e-07,4.706263900000001
NM_214459,Phactr3,1.15e-07,99.7599516
ENSRNOT00000039316,Gprin3,2.18e-06,11.2146742
NM_001100749,Mxd1,0.00039997300000000003,2.2625109
NM_022267,Ccnd2,0.00046801300000000003,2.1714591
ENSRNOT00000049662,Dyrk4,0.025681615,2.0410728
NM_001079711,Rad51ap1,2.27e-09,38.9273319
NM_001048075,Clec2g,1.27e-06,4.4320917
NM_001134716,Clec12a,1.52e-06,4.881302400000001
NM_134327,Cd69,0.00043805300000000004,2.7905976000000003
ENSRNOT00000059627,Ptpn3,5.7999999999999994e-05,2.0821306
NM_001100713,Rap1gap,4.05e-06,2.2269050999999997
NM_053596,Ece1,8.22e-06,3.1534782000000003
NM_001106694,Pink1,4.36e-06,2.6992184
NM_001106695,Mul1,3.4899999999999996e-07,3.978536
NM_001108007,Pkdcc,4.2e-05,2.0779685000000003
NM_053795,Kidins220,5.86e-07,5.5034485
NM_053795,Kidins220,5.86e-07,5.5034485
NM_022197,Fos,4.49e-07,6.5233756
NM_053744,Dlk1,4.98e-05,2.1625055
NM_017258,Btg1,1.7199999999999998e-05,3.6672037000000004
NM_001008384,Rac2,0.00035429699999999995,2.8302681
NM_001130577,Cyth4,0.000909292,3.807663
NM_001044289,Tex33,2.54e-05,2.6260526
NM_053559,Trpc6,0.001795291,2.3143196
NM_138544,Fat3,1.04e-05,4.422982900000001
NM_001106813,Crtam,4.8e-06,4.0937146
ENSRNOT00000047820,RGD1565368,0.000446709,2.2673848999999997
NM_001007752,Mns1,1.01e-05,2.1764935000000003
NM_001191801,Trim71,0.0016931210000000001,2.1649517999999994
NM_199111,Nfkbie,0.00019526599999999998,2.1148755
NM_019143,Fn1,2.19e-08,6.9605147
NM_001192002,Mreg,5.52e-06,4.3845428
NM_013122,Igfbp2,1.64e-05,3.2539769
NM_001014269,Lrrfip1,1.47e-05,5.2355139
NM_031645,Ramp1,0.000140138,2.4183851
ENSRNOT00000027232,Klhl30,2.47e-05,3.2991731
ENSRNOT00000050485,LOC100365136,0.000188459,3.0527796
ENSRNOT00000075578,LOC100365136,0.000321861,2.607801
ENSRNOT00000015907,Ankrd36,2.68e-05,3.9067456
NM_001004210,Xbp1,1.12e-07,7.3691075
NM_001271731,Xbp1,0.000264319,2.2169423
ENSRNOT00000060511,AABR06013141.2,0.01829151,2.3820242
NM_001108467,Eps8l1,3.5100000000000006e-05,3.8579736000000002
NM_001191945,Ptprh,0.000162959,2.51674
NM_001277261,Tnnt1,0.0013119470000000002,2.9134537
NM_001277262,Tnnt1,0.000649644,2.8580843
ENSRNOT00000023246,Tmem238,1.6300000000000002e-07,4.1182545
ENSRNOT00000066383,Tmem190,0.004653059,2.3534634999999997
NM_001127337,Brsk1,9.67e-05,3.7094849
NM_133519,Il11,1.92e-07,9.7786791
ENSRNOT00000027783,Tmem145,0.0018158620000000001,2.404983
NM_001107492,B3gnt8,1.01e-06,3.2519183
NM_001107493,Exosc5,0.00033897800000000003,2.0457556
NM_012782,Bckdha,1.22e-05,2.2742546000000003
NM_021578,Tgfb1,1.6e-07,4.3050920999999995
NM_001007735,Sertad1,6.18e-08,2.1832997000000005
NM_001106236,Blvrb,7.84e-08,4.144089
NM_023976,Prx,1.9e-07,3.0994938
NM_001108478,Ttc9b,1.8600000000000002e-07,6.3938865
NM_001107529,Prc1,0.000166729,2.9174289
NM_001108488,Fes,2.65e-05,2.0314153000000004
NM_031145,Cib1,8.64e-07,2.1775036
ENSRNOT00000044393,Ano9,4.6500000000000005e-05,2.1548138
ENSRNOT00000054875,Ifitm6,0.021640652000000003,3.555382
NM_001024887,Sigirr,1.92e-07,2.0209064999999997
NM_001106314,Ifitm1,1.27e-05,2.0718483
NM_001106315,Pkp3,8.77e-07,4.6249825
NM_001136124,Ifitm3,2e-05,2.0176381
NM_001047108,Lbx1,2.2899999999999998e-05,2.4059505
NM_001109166,Tlx1,0.00083488,2.165649
